45+3x2=51,unknown,"Wed Jan 9 2:49:26 UTC 2019","not available"
"51x58=2,958",unknown,"Wed Jan 9 2:49:32 UTC 2019","not available"
"1,239-3=1,236",unknown,"Wed Jan 9 2:51:24 UTC 2019","not available"
22+6=28,unknown,"Wed Jan 9 2:52:41 UTC 2019","not available"
28-3x6=10,unknown,"Wed Jan 9 2:54:44 UTC 2019","not available"
"1,055+6=1,061",unknown,"Wed Jan 9 2:57:03 UTC 2019","not available"
"1,061+9-52&divide;3=1,052.6666666666667",unknown,"Wed Jan 9 2:59:42 UTC 2019","not available"
22+6=28,unknown,"Wed Jan 9 3:00:26 UTC 2019","not available"
28+66x3=226,unknown,"Wed Jan 9 3:01:20 UTC 2019","not available"
44+6=50,unknown,"Wed Jan 9 3:02:36 UTC 2019","not available"
23+6=29,unknown,"Wed Jan 9 3:05:40 UTC 2019","not available"
29+5=34,unknown,"Wed Jan 9 3:05:49 UTC 2019","not available"
120x2=240,unknown,"Wed Jan 9 3:21:07 UTC 2019","not available"
